"ImportedID","CarSearchID","Engine","DealerPhone","CarYear","ErrFlg","Color","Price","BodyStyle","CarName","SellerType","SellerName","ListingID","Miles","ScraperRunID","Created"
"30900","1153","5.4L V8","8665380470","2008","0","Black","32700","Black","Lincoln Navigator","Dealer:","Oak Lawn Mazda","62940560","35304","125",NULL
"32273","11674","3.6L V6","8667952174","2008","0","Black","20988","Black","Pontiac Torrent GXP","Dealer:","Joe Machens Automotive Group","63298413","42272","125",NULL
"32379","1167","3.7L V6","8665380470","2008","0","Brilliant Black","25862","Brilliant Black","Mazda CX-9 Grand Touring","Dealer:","Oak Lawn Mazda","59637638","33198","125",NULL
"33769","11774","3.2L V6","8668628192","2006","0","Shadow Blue","18270","Shadow Blue","Volkswagen Touareg V6","Dealer:","Dean Team of Ballwin","60211877","49537","125",NULL
"37482","11977","2.4L I4","8668568922","2005","0","Electric Blue Pearl - (Blue)","7250","Electric Blue Pearl - (Blue)","Chrysler PT Cruiser","Dealer:","R  D Motors","66938206","76936","125",NULL
"39697","12040","4.0L V6","8883859914","2003","0","Blue","7988","Blue","Ford Explorer Sport XLS","Dealer:","CAG - First Texas Honda of Austin","67172070","74749","125",NULL
"39965","12042","4.6L V8","8667071784","2009","0","Red","19893","Red","Ford F150 XLT","Dealer:","Leif Johnson Ford Inc.","65698261","36848","125",NULL
"48697","12427","4.0L V6","8777334214","2008","0","White / Black Diamond","25973","White / Black Diamond","Toyota FJ Cruiser","Dealer:","CAG - Austin Infiniti","64878613","39405","125",NULL
"49350","12442","4.0L V6","8668625883","2008","0","Silver Mica","16988","Silver Mica","Toyota Tacoma","Dealer:","Red McCombs Toyota Scion","63137463","114164","125",NULL
"56677","1320","2.7L H6","8885706837","2007","0","Cobalt Blue Metallic","38900","Cobalt Blue Metallic","Porsche Cayman","Dealer:","Motorwerks of Barrington","66442744","24553","125",NULL
"61240","1357","3.0L H6","8882691104","2003","0","White Frost Pearl / Titanium Pearl","12889","White Frost Pearl / Titanium Pea","Subaru Outback H6-3.0","Dealer:","McGrath Lexus Chicago","64139937","54067","125",NULL
"64112","1372","3.5L V6","8889239532","2008","0","Blue Streak Metallic","27595","Blue Streak Metallic","Toyota Highlander Sport","Dealer:","Lombard Toyota/Scion","65675779","30256","125",NULL
"70883","1399","2.5L I5","8887688905","2007","0","Blue","15990","Blue","Volkswagen Jetta 2.5","Dealer:","Fox Valley Volkswagen in Schaumburg","66958302","44992","125",NULL
"74605","14088","2.4L I4","8884135870","2005","0","Silver","6980","Silver","Dodge Stratus SXT","Dealer:","Karplus Warehouse Inc.","61687628","92353","125",NULL
"75802","14115","5.4L V8","8667956087","2004","0","White","14995","White","Ford F150 Lariat","Dealer:","Auto Park Super Store","65964911","100061","125",NULL
"77492","14141","2.4L I4","8888225452","2009","0","Blue","16994","Blue","Honda Accord LX","Dealer:","Power Honda","67161323","32630","125",NULL
"82303","14305","2.0L I4","8887834108","2008","0","Green","20995","Green","Mazda Miata MX-5 Sport","Dealer:","Galpin Santa Clarita Valley","65962058","10404","125",NULL
"85397","14371","4.0L V6","8887896171","2009","0","Silver","23188","Silver","Nissan Pathfinder LE","Dealer:","Allen Gwynn Chevrolet","55634588","28912","125",NULL
"87295","14397","1.6L I4","8882230335","2006","0","Blue","16998","Blue","MINI Cooper","Dealer:","CarMax","66512998","49292","125",NULL
"87599","1439","2.3L I4","8884849951","2008","0","Nighthawk Black Pearl","22889","Nighthawk Black Pearl","Acura RDX","Dealer:","Great Neck Nissan","67198198","48904","125",NULL
"87962","1440","3.5L V6 EFI","8666654901","2004","0","Champagne Gold","12791","Champagne Gold","Acura RL 3.5","Dealer:","Auto Fair, Inc.","65765186","114637","125",NULL
"89317","14441","3.8L H6","8669062186","2007","0","Midnight Blue Metallic","66900","Midnight Blue Metallic","Porsche 911 Targa 4S","Dealer:","Santa Barbara Auto Group","63582511","15084","125",NULL
"103781","14716","8 Cylinders","8009607121113091","2004","0","Silver","18249","Silver","Chevrolet Tahoe LT","Individual Seller:","Individual Seller:","66516837","64400","125",NULL
"111638","14815","2.0L I4","8882117198","2005","0","Pitch Black Clearcoat","9764","Pitch Black Clearcoat","Ford Focus ZX5","Dealer:","Sonora Subaru","66592701","64400","125",NULL
"114713","14837","2.4L I4","8885759337","2010","0","Black","21991","Black","Honda CR-V LX","Dealer:","Tracy Honda","61440869","16640","125",NULL
"118154","14924","4.2L V8","8667992760","2007","0","Silver","43991","Silver","Land Rover Range Rover Supercharged","Dealer:","Aston Martin Jaguar Land Rover Marin","62817309","58095","125",NULL
"120407","15009","3.0L V6","8882763563","2010","0","Black","34495","Black","Mercedes-Benz C-Class C300","Dealer:","Mercedes-Benz of El Dorado Hills","59289799","16530","125",NULL
"124751","1507","4.8L V8","8882342606","2008","0","Titanium Silver","41795","Titanium Silver","BMW X5 4.8i","Dealer:","Hassel BMW","65914463","18334","125",NULL
"124872","1507","3.0L I6","8886221909","2008","0","Alpine White","38881","Alpine White","BMW X5 3.0si","Dealer:","BMW of Reading","65431265","22341","125",NULL
"127109","1515","3.8L V6","8884217570","2004","0","White","0","White","Buick LeSabre Limited","Dealer:","Wigder Chevrolet, Inc.","64938143","68480","125",NULL
"127428","1516","3.8L V6 12V MPFI OHV","8667834221","2008","0","Dark Red","20723","Dark Red","Buick Lucerne","Dealer:","Dealer:","65543502","34409","125",NULL
"129544","15188","1.8L I4","8888871347","2010","0","Super White","17997","Super White","Toyota Corolla","Dealer:","Folsom Lake Toyota Scion","65975506","38120","125",NULL
"131559","15204","3.0L I6","8885409132","1994","0","Red","46991","Red","Toyota Supra Turbo","Dealer:","Toyota Sunnyvale","2182403","36992","125",NULL
"133562","15240","2.5L I5","8884882558","2010","0","Silver","32888","Silver","Volvo C70 T5","Dealer:","Modesto European","63248953","10548","125",NULL
"134720","15295","3.0L I6","8882057821","2008","0","Platinum Bronze Metallic","35995","Platinum Bronze Metallic","BMW 328 xi","Dealer:","Co""s BMW Center","29836319","3630","125",NULL
"139825","1540","3.6L V6","8882599709","2006","0","Diamond White","23995","Diamond White","Cadillac SRX","Dealer:","Mercedes-Benz of Smithtown","66330276","41584","125",NULL
"140550","1541","6 Cylinders","2018002653","2005","0","White","15000","White","Cadillac STS V6","Individual Seller:","Individual Seller:","64929481","65000","125",NULL
"144880","15509","2.5L I4","8884523398","2010","0","Black","19980","Black","Ford Fusion SE","Dealer:","Sill-TerHar Motors","67049502","33969","125",NULL
"153657","15700","Petrol","8778893501","2010","0","Iridium Silver","36648","Iridium Silver","Mercedes-Benz C-Class C300","Dealer:","Dealer:","65845875","19337","125",NULL
"156846","15807","2.2L I4","8888390144","2007","0","Orange","10291","Orange","Pontiac G5","Dealer:","GO Buick GMC West","64397254","67111","125",NULL
"167240","16097","5.3L V8","8887490947","2010","0","Maroon","35960","Maroon","Chevrolet Suburban 1500 LT","Dealer:","Gene Harvey Chevrolet","60738002","12008","125",NULL
"169125","1613","2.4L I4","8888738425","2004","0","Deep Lava Red Metallic","5995","Deep Lava Red Metallic","Chrysler Sebring","Dealer:","112 Super Store","64731419","86774","125",NULL
"171598","16188","5.4L V8","8886227051","2006","0","White","0","White","Ford F150","Dealer:","Larry H. Miller Chrysler Jeep Dodge Ram Riverdale","66397204","42081","125",NULL
"174857","16288","4.0L V8","8006085239","2002","0","Blue","14950","Blue","Jaguar XK8","Dealer:","Specialties Automotive Group","67186842","69426","125",NULL
"175796","1631","3.8L V6","8668611783","2008","0","Tan","19855","Tan","Dodge Grand Caravan SXT","Dealer:","Meadowland of Carmel","67242606","22317","125",NULL
"176064","1631","3.3L V6","8668555954","2008","0","Inferno Red Crystal Pearl","12377","Inferno Red Crystal Pearl","Dodge Grand Caravan SE","Dealer:","Hudson Honda","59981097","29725","125",NULL
"179011","16429","2.5L I4","8772981203","2009","0","Blue","15995","Blue","Nissan Altima 2.5","Dealer:","Kapp Auto Sales","63493047","49332","125",NULL
"181149","16573","4.0L V6","8884247961","2007","0","Black Cherry Pearl","22970","Black Cherry Pearl","Toyota FJ Cruiser","Dealer:","Affinity Auto Sales","62012654","50994","125",NULL
"181265","16582","76 horsepower 4 cylinder","8886152521","2009","0","Super Whit","22980","Super Whit","Toyota Prius","Dealer:","Dealer:","66875780","15201","125",NULL
"184328","1668","3.0L V6","8777678790","2005","0","Silver","13550","Silver","Ford Escape Limited","Dealer:","Danbury Hyundai Chrysler Jeep Dodge Kia","67270267","66359","125",NULL
"185742","1674","4.0L V6","8887896944","2000","0","Black","7995","Black","Ford Explorer Eddie Bauer","Dealer:","Kelly""s Kars","66262086","67047","125",NULL
"186180","1674","4.0L V6","8884563162","2007","0","Dark Cherry","22975","Dark Cherry","Ford Explorer Eddie Bauer","Dealer:","Buhler Auto Superstore","59673346","35560","125",NULL
"186885","1675","4.0L V6","8884299983","2002","0","Black","5995","Black","Ford Explorer Sport","Dealer:","Samy""s Auto Haus","64520683","144930","125",NULL
"187298","1677","5.4L V8","8664710175","2007","0","Black Clearcoat","26699","Black Clearcoat","Ford F150 Harley-Davidson","Dealer:","Buhler  Bitter","67032653","51165","125",NULL
"189315","1686","2.0L I4","8882056310","2008","0","Black","12999","Black","Ford Focus","Dealer:","Jack Daniels Motors","46179019","35626","125",NULL
"189373","1686","2.0L I4","8778420322","2007","0","Pueblo Gold Clearcoat Metallic","11991","Pueblo Gold Clearcoat Metallic","Ford Focus ZX4 SE","Dealer:","Sansones Rt. 1 Automall","66345076","58779","125",NULL
"193891","1703","2.4L I4","8887860309","2009","0","Mystic Green Metallic","17995","Mystic Green Metallic","Honda Accord EX","Dealer:","Del Toyota","52696334","19585","125",NULL
"196213","1703","3.5L V6","8774542923","2008","0","Basque Red Pearl","0","Basque Red Pearl","Honda Accord EX-L","Dealer:","MajorWorld.com","62852689","43668","125",NULL
"201270","1715","3.5L V6","8885562028","2007","0","Desert Rock Metallic","0","Desert Rock Metallic","Honda Odyssey EX","Dealer:","DCH Paramus Honda","67184516","0","125",NULL
"202596","1717","3.5L V6","8774542923","2008","0","Gray","0","Gray","Honda Pilot VP","Dealer:","MajorWorld.com","64664386","31010","125",NULL
"210230","1781","4.7L V8","8888015302","2006","0","Gray","15797","Gray","Jeep Commander","Dealer:","Rothrock Motor Sales","65738957","71720","125",NULL
"215509","1795","4.4L V8 SFI","8883932881","2005","0","Black","399","Black","Land Rover Range Rover HSE","Dealer:","Masters AutoMall","66243621","73960","125",NULL
"224777","18301","3.5L V6","8666740053","2006","0","Gray","19999","Gray","Honda Pilot EX","Dealer:","Performance Toyota of LaVista","66440315","92156","125",NULL
"228600","18576","6.0L V8","8886392790","2005","0","Quicksilver Metallic","15995","Quicksilver Metallic","Pontiac GTO","Dealer:","Dillon""s Auto North","66691930","81249","125",NULL
"231470","18656","4 Cylinders","7853372921515321","2008","0","Red","18900","Red","Toyota RAV4","Individual Seller:","Individual Seller:","64770859","37000","125",NULL
"238170","1891","3.8L V8","8773820021","1985","0","Green","12300","Green","Mercedes-Benz SL-Class 380SL","Dealer:","Driven Autoplex","49889735","91644","125",NULL
"241286","1918","2.5L I4","8774519630","2008","0","Super Black","15990","Super Black","Nissan Altima 2.5 S","Dealer:","Windsor Nissan","66862776","10442","125",NULL
"241699","1918","2.5L I4","8778734510","2006","0","Satin White Pearl","13481","Satin White Pearl","Nissan Altima 2.5 S","Dealer:","Fred Beans Nissan of Limerick","65638897","37014","125",NULL
"256971","20322","6.8L V10","8882045275","2003","0","Green","10495","Green","Ford E350 Super Duty","Dealer:","Bronco Motors Nissan","63470697","93499","125",NULL
"257466","2033","3.5L V6","8667225135","2006","0","Silver Nickel","15310","Silver Nickel","Saturn Vue","Dealer:","Brodheadsville Chevrolet","65498861","19346","125",NULL
"257616","2033","2.2L I-4","8778835382","2004","0","Blue","5500","Blue","Saturn Vue","Dealer:","KNS Auto Sales Inc","57870113","99000","125",NULL
"262006","2054","3.5L V6","8775114666","2006","0","Silver","15498","Silver","Toyota Avalon XLS","Dealer:","Auto Field Corp.","40040487","53018","125",NULL
"265510","20596","5.6L V8","8888566869","2004","0","Radiant Silver","0","Radiant Silver","Nissan Titan","Dealer:","Mountain Home Auto Ranch","67246875","88513","125",NULL
"265989","2059","1.8L I4","8886398901","2006","0","Maroon","8995","Maroon","Toyota Corolla CE","Dealer:","Reedman-Toll Auto World","64840026","82699","125",NULL
"267576","2063","3.5L V6","8884405658","2010","0","Silver","31990","Silver","Toyota Highlander SE","Dealer:","Plaza Auto Mall","65648298","10110","125",NULL
"274898","2090","2.0L I-4","8885879401","2011","0","Red","22700","Red","Volkswagen Jetta TDI LE","Dealer:","Princeton Volkswagen","65852626","100","125",NULL
"276470","2091","2.0L I4","8883928904","2004","0","Beige","9999","Beige","Volkswagen New Beetle GL","Dealer:","Sussex Honda","66984329","84190","125",NULL
"276602","20926","2.2L I4","8887229478","1999","0","White","6995","White","Chevrolet S-10 LS","Dealer:","Zamora Auto Sales","59624941","0","125",NULL
"282278","21103","3.5L V6","8666542029","2007","0","Crimson Roulette Pearl","30981","Crimson Roulette Pearl","Infiniti M35 x","Dealer:","Beaverton Infiniti","66332458","38729","125",NULL
"287683","21438","2.5L I5","8772166880","2008","0","Reflex Silver Metallic","15995","Reflex Silver Metallic","Volkswagen Jetta SEL","Dealer:","Ron Tonkin Hyundai","66398127","51404","125",NULL
"290868","2180","4.4L V8","8883662135","2005","0","Jet Black","25999","Jet Black","BMW 645 Ci","Dealer:","Tomkinson BMW","66167780","97384","125",NULL
"290947","21822","4.7L V8","8664544856","2001","0","Blue","7995","Blue","Jeep Grand Cherokee Limited","Dealer:","Auto Credit North","66037282","138326","125",NULL
"293399","2217","4.1L V8","8773860404","1988","0","Red","4995","Red","Cadillac Allante","Dealer:","Northwest Auto Brokers","62451490","77026","125",NULL
"294591","22247","3.8L V6","8775063786","2000","0","Gold","4650","Gold","Buick Park Avenue","Dealer:","Royal Automotive on Speedway - Used Cars Tucson","66814693","140002","125",NULL
"295680","22300","2.4L I4","8667546131","2009","0","Silver","16778","Silver","Chevrolet Malibu LT","Dealer:","Big Two Mitsubishi","63301474","11572","125",NULL
"297258","22370","4.7L V8","8772180146","2005","0","White","11288","White","Dodge Ram 1500 SLT","Dealer:","Payless Car Sales","64892702","78601","125",NULL
"303037","2258","5.3L V8","8665953383","2007","0","Red","17880","Red","Chevrolet Impala SS","Dealer:","Ft. Wayne Toyota Lexus Kia Scion","63155126","66373","125",NULL
"303692","2258","3.5L V6","8886268782","2010","0","Silver","16731","Silver","Chevrolet Impala LT","Dealer:","Dave White Chevrolet","65719668","31666","125",NULL
"307702","2273","6.6L V8","8886224310","2009","0","Black","44988","Black","Chevrolet Silverado 2500 H/D","Dealer:","Joe Johnson Chevrolet","59951723","13078","125",NULL
"308281","2277","5.3L V8","8667516349","2004","0","Burgundy","12999","Burgundy","Chevrolet Suburban","Dealer:","Dimension Ford Lincoln Mercury","60665755","114368","125",NULL
"309913","2281","4.2L I6","8888776143","2008","0","Summit White","15977","Summit White","Chevrolet TrailBlazer","Dealer:","Bedford Auto Wholesale","63098157","61945","125",NULL
"312423","22897","6 Cylinders","8177339456","2002","0","Black","6999","Black","BMW 330 Ci","Individual Seller:","Individual Seller:","67285327","184000","125",NULL
"314716","22962","4.6L V8","8882021779","2009","0","Black Cherry","25881","Black Cherry","Cadillac STS V8","Dealer:","Reflection Auto","66871154","56193","125",NULL
"316623","23001","5.3L V8","8888769708","2011","0","White","28359","White","Chevrolet Silverado 1500 LT","Dealer:","Jerry""s Chevrolet GMC Pontiac Buick Cadillac","59834162","3586","125",NULL
"318372","23011","4.2L I6","8667024972","2006","0","Green","11995","Green","Chevrolet TrailBlazer LS","Dealer:","Car Stop","64145509","61580","125",NULL
"318953","23025","3.2L V6","8886698464","2006","0","Black","14448","Black","Chrysler Crossfire Limited","Dealer:","Euro Autohaus, Inc.","62875559","73185","125",NULL
"327917","23124","3.0L V6","8884588775","2005","0","Desert Mist Metallic","16798","Desert Mist Metallic","Honda Accord EX-L","Dealer:","driversselect","65086993","26342","125",NULL
"331547","2317","4.7L V8","8772896144","2005","0","White","12950","White","Dodge Dakota Laramie","Dealer:","Gender Auto Sales","56698926","55884","125",NULL
"332187","2319","4.7L V8","8772864038","2001","0","Black Clearcoat","7995","Black Clearcoat","Dodge Durango SLT","Dealer:","Suburban Infiniti of Novi","66354654","98714","125",NULL
"333945","23223","3.0L I-6","8777273603","2000","0","Millenium Silver Metallic","10995","Millenium Silver Metallic","Lexus GS 300","Dealer:","C-3 Automotive","66601813","93466","125",NULL
"334723","23232","2.5L V6","8882322951","2010","0","Obsidian Black","34500","Obsidian Black","Lexus IS 250","Dealer:","Park Place Lexus Grapevine","65899637","9610","125",NULL
"335873","23265","5.4L V8","8885200608","2006","0","Tan","21991","Tan","Lincoln Navigator","Dealer:","Bankston Ford of Burleson","67027199","54501","125",NULL
"337412","23307","4.6L V8","8886174543","2008","0","Pewter Metallic","40857","Pewter Metallic","Mercedes-Benz GL-Class GL450 4MATIC","Dealer:","Moritz North Arlington","66607192","42273","125",NULL
"341434","23375","3.0L V6","8887134428","2009","0","Tan","19998","Tan","Mitsubishi Outlander XLS","Dealer:","CarMax","66954870","16523","125",NULL
"345565","2349","5.0L V8","8665696873","1994","0","Blue","3995","Blue","Ford Bronco","Dealer:","Mathews Ford","66580861","130939","125",NULL
"346348","23511","2.0L I4","8772934520","2007","0","Black","14987","Black","Volkswagen Jetta GLI","Dealer:","Midway Auto Group","65682968","79687","125",NULL
"349682","2365","4.0L V6","8662809323","2003","0","Mineral Gray Clearcoat Metallic","8995","Mineral Gray Clearcoat Metallic","Ford Explorer XLT","Dealer:","Stillwell Ford","65334718","84860","125",NULL
"351029","2368","5.4L V8","8778031316","2004","0","True Blue Metallic","14994","True Blue Metallic","Ford F150 SuperCab","Dealer:","Byers Dublin Superstore","64400783","93061","125",NULL
"358507","2408","3.5L","8883260046","2008","0","Nimbus Gray Metallic","24863","Nimbus Gray Metallic","Honda Pilot 4WDEXL","Dealer:","Dealer:","61328604","43035","125",NULL
"359762","2426","3.3L V6","8884845659","2007","0","Midnight Blue","17988","Midnight Blue","Hyundai Santa Fe Limited","Dealer:","Glenbrook Hyundai","63949801","69204","125",NULL
"368021","25134","5.7L V8","8882320805","2004","0","Bright Silver Metallic","13377","Bright Silver Metallic","Dodge Ram 1500","Dealer:","Sandy Sansing Chevrolet","66814143","117594","125",NULL
"371350","2536","4.6L V8","8663696456","2004","0","Silver Birch Clearcoat Metallic","12979","Silver Birch Clearcoat Metallic","Lincoln Town Car Ultimate","Dealer:","Lima Ford","65640248","62632","125",NULL
"374473","2574","5.0L V8","8887952593","2006","0","Desert Silver Metallic","29495","Desert Silver Metallic","Mercedes-Benz CLS-Class CLS500","Dealer:","George Matick Chevrolet","64439075","58776","125",NULL
"375480","2592","3.0L V6","8669175144","2009","0","White Suede","19650","White Suede","Mercury Mariner Premier","Dealer:","North Coast Auto Mall","66076910","31428","125",NULL
"376957","2613","4.0L V6","8665953383","2007","0","Black","16880","Black","Nissan Frontier SE","Dealer:","Ft. Wayne Toyota Lexus Kia Scion","65854665","70543","125",NULL
"380893","2711","2.4L I4 16V MPFI DOHC","8888054394","2009","0","Silver Moss","16550","Silver Moss","Saturn Aura","Dealer:","Dealer:","64311763","16571","125",NULL
"382608","2745","3.5L V6","8887913181","2011","0","White","27994","White","Toyota Avalon","Dealer:","Motorcars Honda","63919796","3557","125",NULL
"385615","2781","2.5L I5","8887969538","2010","0","Blue Graphite Metallic","19999","Blue Graphite Metallic","Volkswagen Jetta SE","Dealer:","Byers Imports","66442881","36078","125",NULL
"390045","2892","3.0L I6","8883162820","2008","0","Alpine White","30977","Alpine White","BMW Z4 3.0i","Dealer:","DARCARS Volvo","64449797","30109","125",NULL
"400283","3078","3.0L V6","8778673717","1998","0","White","2990","White","Ford Taurus SE","Dealer:","Universal Auto Sales","62301991","141059","125",NULL
"401482","3085","3.0L V6 EFI","8887714542","1999","0","Black","3995","Black","Honda Accord EX V6","Dealer:","Pre-owned Car Store","51666347","215000","125",NULL
"401964","3088","1.7L I4","8778137744","2001","0","Silver","7995","Silver","Honda Civic LX","Dealer:","City Motors","62071906","88925","125",NULL
"407107","3191","4.7L V8","8886389867","2004","0","Beige","20983","Beige","Lexus GX 470","Dealer:","Lindsay Chevrolet","67165419","103263","125",NULL
"414367","335","3.5L V6","8884258057","2005","0","Nighthawk Black Pearl","15990","Nighthawk Black Pearl","Honda Pilot EX-L","Dealer:","Inver Grove Honda","64280496","107008","125",NULL
"419642","3472","2.5L 170 HP","8668610214","2010","0","Reflex Silver Metallic","15998","Reflex Silver Metallic","Volkswagen Jetta S","Dealer:","Dealer:","64716402","34132","125",NULL
"422389","3623","4.3L V6","8666183048","2004","0","Pewter","8995","Pewter","Chevrolet Blazer LS","Dealer:","A-K Motors Inc.","65086153","81418","125",NULL
"423271","3639","2.2L I4","8889042328","2010","0","Black","14995","Black","Chevrolet HHR LT","Dealer:","Fuccillo Chevrolet","58858647","15912","125",NULL
"425195","3660","5.7L V8","8667952094","1996","0","Green","2995","Green","Chevrolet Tahoe","Dealer:","Tropical Motor Cars","66703062","163210","125",NULL
"426519","3690","2.4L I4","8772645750","2009","0","Red","14999","Red","Dodge Avenger SE","Dealer:","Courtesy Motor Sales","64713103","34702","125",NULL
"426826","3699","4.7L V8","8669800833","2005","0","Maroon","17988","Maroon","Dodge Dakota SLT","Dealer:","Blaise Alexander Hyundai Mazda","65429864","64699","125",NULL
"432875","3953","2.6L V6","8772971315","2004","0","Tan","9869","Tan","Mercedes-Benz C-Class C240 4MATIC","Dealer:","Honda North","60764562","116263","125",NULL
"438263","4216","2.0L I4","8885545012","2008","0","Brilliant Red","21495","Brilliant Red","Audi A4 2.0T","Dealer:","Esserman Int""l Acura Kia VW","65027008","44586","125",NULL
"439431","4246","3.0L I6","8887351843","2008","0","Platinum Bronze Metallic","31450","Platinum Bronze Metallic","BMW 535 i","Dealer:","Braman Honda","61496166","34993","125",NULL
"448939","4532","4.2L V8","8665425849","2009","0","Ebony","38999","Ebony","Jaguar XF Supercharged","Dealer:","OffLeaseOnly.com","65465066","39228","125",NULL
"460256","495","3.0L V6","8772279431","2005","0","Beige","10991","Beige","Mazda Tribute s","Dealer:","BMW of Minnetonka","66611690","108038","125",NULL
"460676","4988","6.0L V8","8886218218","2003","0","Burgundy","13995","Burgundy","Cadillac Escalade","Dealer:","Beach Blvd Automotive","65220077","0","125",NULL
"460947","5006","6.2L V8","8884062352","2010","0","Black","33871","Black","Chevrolet Camaro SS","Dealer:","Gordon Chevrolet","65680735","7603","125",NULL
"466816","5242","4.0L I6","8888125498","2006","0","Solar Yellow Clearcoat","17977","Solar Yellow Clearcoat","Jeep Wrangler Sport","Dealer:","Palm Coast Ford","66572527","41993","125",NULL
"470898","5529","3.3L V6","8888052296","2004","0","Silver","12950","Silver","Toyota Sienna","Dealer:","Nick Nicholas Ford Lincoln","65041154","79507","125",NULL
"474174","5653","3.0L I6","8882402610","2001","0","Alpine White","12994","Alpine White","BMW X5 3.0i","Dealer:","Ed Voyles Honda","57894509","134882","125",NULL
"474368","5660","2.4L I4","8664857717","2011","0","Silver","31988","Silver","Buick LaCrosse CXL","Dealer:","Hutchinson Auto Mall","61340788","12751","125",NULL
"479059","5761","3.8L V6","8778151808","2007","0","Stone White","15980","Stone White","Chrysler Town  Country Touring","Dealer:","Jacky Jones Lincoln","66147921","83254","125",NULL
"479964","5782","2.4L I4","8776675493","2005","0","Black","12995","Black","Dodge Neon SRT-4","Dealer:","Louie Herron Toyota","64733807","81276","125",NULL
"480331","5786","5.7L V8","8888829648","2004","0","White","10995","White","Dodge Ram 1500 SLT","Dealer:","Auto Gallery - Gainesville","62238597","112542","125",NULL
"485827","5861","3.5L V6","8882404791","2003","0","Silver","9995","Silver","Honda Odyssey EX-L","Dealer:","Marietta Auto Mall","65504600","91596","125",NULL
"485881","5863","3.5L V6","8662861799","2011","0","Silver","34999","Silver","Honda Pilot EX-L","Dealer:","Jay Pontiac Buick GMC","67091190","11936","125",NULL
"488112","5931","3.7L V6","8884363808","2008","0","Black","18860","Black","Jeep Liberty Limited","Dealer:","Horton Cadillac Pontiac Buick GMC","64305258","15672","125",NULL
"499305","6281","2.4L I4","8886899739","2008","0","Silver","23998","Silver","Acura TSX","Dealer:","CarMax","65804665","30025","125",NULL
"499898","6343","3.0L I6","8886060283","2006","0","Titanium Silver Metallic","24980","Titanium Silver Metallic","BMW X3 3.0i","Dealer:","Dreyer  Reinbold Volkswagen, Infiniti, BMW, Subaru of Greenwood","64577657","50916","125",NULL
"500039","6350","3.6L V6","8888426462","2008","0","Cocoa Metallic","32995","Cocoa Metallic","Buick Enclave CXL","Dealer:","Dellen Chevrolet Buick Pontiac GMC","66452577","35226","125",NULL
"502190","6398","3.6L V6","8886974616","2008","0","Summit White","21600","Summit White","Chevrolet Equinox Sport","Dealer:","Kia Clarksville","64883471","44857","125",NULL
"502286","6398","3.4L V6","8884716485","2005","0","Summit White","11754","Summit White","Chevrolet Equinox LT","Dealer:","Don Moore Automotive","62950940","93737","125",NULL
"504543","6419","6.0L V8","8885669218","2009","0","Maroon","29988","Maroon","Chevrolet Silverado 2500 H/D","Dealer:","Hubler Nissan","64490868","59599","125",NULL
"507178","6458","5.7L V8","8773484249","2007","0","Black","20996","Black","Dodge Charger R/T","Dealer:","Palmer-Huffman Auto Outlet","50196002","56585","125",NULL
"511770","6523","2.0L I4","8883060471","2007","0","Silver","9977","Silver","Ford Focus ZX4","Dealer:","ACRA Automotive Group","53960091","43305","125",NULL
